store_id,total_revenue,transaction_count,avg_price
STORE_011,141709.81,25,1023.96
STORE_008,129855.9,29,1420.77
STORE_014,127601.23,26,1320.27
STORE_015,126675.26,24,1418.39
STORE_019,121467.67,25,1546.89
STORE_002,117776.63,26,1208.97
STORE_013,116060.13,27,1399.86
STORE_006,112959.78,22,1209.12
STORE_018,112310.67,28,1428.64
STORE_007,108428.38,19,1372.78
STORE_001,108349.04,20,1248.71
STORE_010,105255.33,24,1316.52
STORE_005,98413.6,22,1616.56
STORE_012,97541.03,23,1294.73
STORE_003,93647.74,18,1466.04
STORE_020,92231.52,20,1766.98
STORE_016,91621.61,24,1449.9
STORE_009,89695.86,26,1407.42
STORE_004,85991.02,20,1736.71
STORE_017,32689.36,13,1667.86
