order_id,user_id,product_id,category,product_name,base_price,price,amount,quantity,region,priority,status,order_date
1,1072.0,P9935,Electronics,Laptop,3733.6,3733.6,14934.4,4,North,Low,Processing,2025-04-25
2,,P4257,Electronics,Laptop,559.11,559.11,2236.44,4,West,High,Processing,2025-09-16
3,1358.0,P5552,Sports,Tennis Racket,4066.21,4066.21,4066.21,1,South,High,Cancelled,2025-03-23
4,1310.0,P1711,Electronics,Laptop,1961.64,1961.64,11769.84,6,West,Low,Completed,2025-06-26
5,1296.0,P2139,Groceries,Rice,2805.0,2805.0,28050.0,10,North,Low,Pending,2025-07-05
6,1143.0,P6977,Clothing,T-Shirt,4291.06,4291.06,8582.12,2,South,Medium,Cancelled,2025-07-14
7,1326.0,P5010,Furniture,Sofa,3538.92,3538.92,7077.84,2,South,Medium,Processing,2025-11-08
8,1118.0,P6168,Clothing,Hoodie,1176.11,1176.11,7056.66,6,West,Medium,Completed,2025-01-29
9,1336.0,P8517,Furniture,Wardrobe,4394.2,4394.2,26365.2,6,South,Medium,Pending,2025-04-19
10,1460.0,P6930,Furniture,Wardrobe,2740.99,2740.99,27409.9,10,South,High,Processing,2025-08-08
11,1082.0,P7916,Electronics,Laptop,4319.4,4319.4,12958.2,3,North,Medium,Processing,2025-11-18
12,1349.0,P9797,Sports,Yoga Mat,2692.66,2692.66,24233.94,9,East,Low,Cancelled,2025-01-06
13,1489.0,P5315,Electronics,Tablet,2230.35,2230.35,17842.8,8,South,Low,Completed,2025-01-02
14,1391.0,P9689,Clothing,Hoodie,3083.95,3083.95,9251.85,3,North,Low,Cancelled,2025-07-11
15,1123.0,P2290,Groceries,Rice,648.15,648.15,3888.9,6,North,Low,Processing,2025-06-07
16,1244.0,P3705,Electronics,Monitor,3852.59,3852.59,11557.77,3,East,Low,Processing,2025-12-04
17,1160.0,P7118,Furniture,Wardrobe,3800.8,3800.8,15203.2,4,West,Low,Processing,2026-01-01
18,1302.0,P4608,Electronics,Smartphone,1201.02,1201.02,7206.12,6,North,High,Completed,2025-01-11
19,1264.0,P8953,Furniture,Chair,4536.56,4536.56,27219.36,6,South,Low,Pending,2025-02-06
20,1098.0,P8062,Sports,Dumbbells,2416.09,2416.09,19328.72,8,East,Medium,Processing,2025-07-28
21,1207.0,P2790,Groceries,Rice,3399.49,3399.49,6798.98,2,South,High,Pending,2025-02-01
22,1237.0,P2235,Sports,Yoga Mat,786.89,786.89,2360.67,3,West,Low,Completed,2025-05-23
23,1086.0,P8886,Electronics,Monitor,4196.54,4196.54,8393.08,2,South,Medium,Completed,2025-05-02
24,1475.0,P8454,Furniture,Desk,110.56,110.56,773.92,7,East,Medium,Processing,2025-05-16
25,1377.0,P6138,Furniture,Table,1553.87,1553.87,1553.87,1,North,High,Processing,2025-10-24
26,1436.0,P2113,Sports,Dumbbells,871.42,871.42,7842.78,9,South,Medium,Completed,2025-02-11
27,1042.0,P9565,Sports,Cricket Bat,2936.7,2936.7,2936.7,1,East,Medium,Pending,2025-11-14
28,1331.0,P6180,Clothing,Jeans,1401.51,1401.51,4204.53,3,North,High,Processing,2025-12-10
29,1110.0,P3170,Sports,Dumbbells,4980.87,4980.87,9961.74,2,East,High,Pending,2025-10-03
30,1155.0,P9666,Clothing,Jacket,872.96,872.96,7856.64,9,North,Low,Cancelled,2025-12-27
31,1080.0,P4450,Electronics,Smartphone,1395.88,1395.88,2791.76,2,East,High,Cancelled,2025-10-11
32,1325.0,P5533,Sports,Yoga Mat,1330.49,1330.49,1330.49,1,North,High,Cancelled,2025-02-17
33,1362.0,P1158,Furniture,Sofa,891.75,891.75,7134.0,8,North,High,Pending,2025-10-10
34,1076.0,P1685,Sports,Football,4189.52,4189.52,41895.2,10,East,Medium,Completed,2025-10-10
35,1400.0,P7658,Clothing,Jeans,3442.13,3442.13,6884.26,2,South,High,Pending,2025-07-01
36,1411.0,P5065,Furniture,Desk,221.45,221.45,1328.7,6,East,High,Completed,2025-07-30
37,1419.0,P6728,Groceries,Rice,4307.11,4307.11,17228.44,4,East,High,Pending,2025-04-13
38,1496.0,P6753,Electronics,Smartphone,2052.48,2052.48,10262.4,5,West,Low,Cancelled,2025-02-05
39,1298.0,P5349,Electronics,Laptop,4397.49,4397.49,21987.45,5,North,High,Processing,2025-04-02
40,1198.0,P4114,Clothing,Jacket,2238.33,2238.33,20144.97,9,East,High,Processing,2025-03-01
41,1369.0,P4228,Electronics,Monitor,4635.32,4635.32,41717.88,9,,Medium,Completed,2025-12-18
42,1260.0,P7691,Clothing,Hoodie,1638.19,1638.19,3276.38,2,East,Medium,Cancelled,2025-06-03
43,1384.0,P5930,Sports,Cricket Bat,1040.02,1040.02,7280.14,7,West,Low,Completed,2025-12-13
44,1336.0,P8238,Clothing,Jacket,1129.9,1129.9,11299.0,10,West,Low,Pending,2025-11-07
45,1044.0,P6491,Sports,Yoga Mat,3989.3,3989.3,11967.9,3,North,High,Cancelled,2025-12-04
46,1244.0,P2193,Furniture,Table,822.03,822.03,822.03,1,West,Medium,Pending,2025-05-06
47,,P2746,Groceries,Eggs,2058.3,2058.3,6174.9,3,West,High,Pending,2025-12-02
48,1234.0,P8612,Sports,Yoga Mat,346.07,346.07,1384.28,4,East,Medium,Processing,2025-03-04
49,1133.0,P5543,Sports,Yoga Mat,4496.32,4496.32,35970.56,8,West,Low,Pending,2025-08-19
50,1140.0,P9849,Clothing,Shoes,479.67,479.67,2398.35,5,North,High,Pending,2025-05-01
51,1213.0,P9890,Furniture,Desk,3500.35,3500.35,14001.4,4,West,Medium,Completed,2025-02-02
52,1011.0,P7232,Furniture,Desk,2008.44,2008.44,20084.4,10,West,High,Cancelled,2025-12-23
53,1383.0,P4613,Clothing,Shoes,4281.89,4281.89,29973.23,7,West,High,Cancelled,2025-10-03
54,1348.0,P3704,Groceries,Eggs,242.22,242.22,1453.32,6,West,High,Completed,2025-12-09
55,1330.0,P8564,Groceries,Oil,2865.52,2865.52,2865.52,1,South,High,Cancelled,2025-02-12
56,1390.0,P5558,Groceries,Bread,1137.14,1137.14,6822.84,6,West,Medium,Completed,2025-06-22
57,1115.0,P1659,Groceries,Rice,3770.22,3770.22,3770.22,1,North,High,Pending,2025-06-29
58,1343.0,P4571,Electronics,Monitor,846.67,846.67,2540.01,3,West,Low,Cancelled,2025-08-31
59,1494.0,P1420,Clothing,Jeans,3068.87,3068.87,6137.74,2,East,Low,Processing,2025-03-25
60,1357.0,P2983,Groceries,Milk,472.38,472.38,1889.52,4,North,Medium,Processing,2025-02-22
61,1435.0,P9031,Clothing,T-Shirt,2579.21,2579.21,15475.26,6,North,Medium,Cancelled,2025-01-07
62,1139.0,P9817,Groceries,Milk,2233.89,2233.89,20105.01,9,West,Medium,Processing,2025-11-30
63,1143.0,P4995,Sports,Tennis Racket,1679.29,1679.29,6717.16,4,West,Low,Processing,2025-02-14
64,1250.0,P5232,Clothing,T-Shirt,2522.1,2522.1,15132.6,6,East,Medium,Cancelled,2025-04-04
65,1124.0,P9004,Sports,Football,2631.47,2631.47,10525.88,4,South,Low,Processing,2025-02-13
66,1114.0,P4986,Groceries,Eggs,3985.37,3985.37,7970.74,2,East,Low,Cancelled,2025-05-31
67,1170.0,P8434,Groceries,Oil,2701.52,2701.52,18910.64,7,East,Medium,Cancelled,2025-10-09
68,1381.0,P4033,Furniture,Chair,3634.29,3634.29,21805.74,6,South,High,Processing,2025-03-03
69,1145.0,P4180,Clothing,Hoodie,4885.37,4885.37,43968.33,9,East,High,Cancelled,2025-11-02
70,1141.0,P1893,Furniture,Sofa,169.33,169.33,1523.97,9,East,Low,Pending,2025-03-06
71,1241.0,P6582,Groceries,Rice,4376.33,4376.33,43763.3,10,South,High,Cancelled,2025-05-26
72,1038.0,P1878,Groceries,Rice,4128.37,4128.37,28898.59,7,South,High,Cancelled,2025-09-09
73,1306.0,P4697,Electronics,Smartphone,680.41,680.41,4762.87,7,West,Medium,Processing,2025-11-07
74,1318.0,P2625,Clothing,Hoodie,4951.15,4951.15,24755.75,5,South,Low,Pending,2025-10-19
75,1039.0,P7693,Clothing,T-Shirt,869.58,869.58,2608.74,3,West,Low,Processing,2025-10-10
76,1441.0,P4824,Clothing,T-Shirt,1234.23,1234.23,6171.15,5,East,Low,Pending,2025-12-26
77,1424.0,P1977,Groceries,Rice,2768.36,2768.36,8305.08,3,South,Medium,Cancelled,2025-05-17
78,1207.0,P9199,Groceries,Rice,2396.62,2396.62,11983.1,5,West,Medium,Completed,2025-12-25
79,,P4750,Sports,Football,4458.17,4458.17,26749.02,6,North,Low,Cancelled,2025-11-06
80,1266.0,P5557,Sports,Football,3839.23,3839.23,11517.69,3,South,Low,Processing,2025-08-29
81,1165.0,P3634,Groceries,Rice,2403.05,2403.05,16821.35,7,East,Medium,Processing,2025-06-20
82,1233.0,P5135,Clothing,Shoes,4086.47,4086.47,36778.23,9,East,High,Processing,2025-01-19
83,1212.0,P9494,Sports,Football,3322.54,3322.54,29902.86,9,East,Low,Processing,2025-08-25
84,1475.0,P8941,Groceries,Rice,1097.44,1097.44,9876.96,9,North,High,Pending,2025-03-09
85,1048.0,P2858,Furniture,Sofa,2799.11,2799.11,25191.99,9,West,High,Pending,2025-07-28
86,1428.0,P8736,Groceries,Bread,2593.47,2593.47,12967.35,5,South,Medium,Pending,2025-08-01
87,1443.0,P7798,Groceries,Milk,4617.15,4617.15,41554.35,9,East,Low,Cancelled,2025-03-11
88,1338.0,P3434,Electronics,Tablet,3657.65,3657.65,36576.5,10,West,Low,Processing,2025-10-24
89,1234.0,P4090,Clothing,Jacket,2804.4,2804.4,25239.6,9,South,Low,Processing,2025-07-13
90,1468.0,P7325,Furniture,Desk,313.87,313.87,2510.96,8,South,Medium,Completed,2025-12-28
91,1448.0,P2633,Furniture,Wardrobe,4830.23,4830.23,28981.38,6,West,High,Pending,2025-02-21
92,1320.0,P2315,Groceries,Milk,466.66,466.66,2333.3,5,East,Low,Processing,2025-06-23
93,1036.0,P5708,Clothing,Shoes,4374.68,4374.68,4374.68,1,South,Low,Completed,2025-11-13
94,1086.0,P1474,Groceries,Rice,3825.81,3825.81,7651.62,2,North,Medium,Completed,2025-08-16
95,1272.0,P3950,Clothing,Jacket,1936.72,1936.72,5810.16,3,South,High,Completed,2025-05-06
96,1468.0,P4804,Sports,Yoga Mat,3136.58,3136.58,12546.32,4,West,Low,Cancelled,2025-09-12
97,1347.0,P2210,Groceries,Bread,3367.52,3367.52,26940.16,8,West,Medium,Cancelled,2025-05-28
98,1197.0,P2747,Groceries,Bread,2338.5,2338.5,11692.5,5,South,Medium,Cancelled,2025-04-12
99,1425.0,P5497,Sports,Tennis Racket,4964.19,4964.19,24820.95,5,North,Low,Completed,2025-01-12
100,1311.0,P4588,Sports,Yoga Mat,4180.91,4180.91,20904.55,5,South,Low,Cancelled,2025-04-28
101,1404.0,P6977,Furniture,Chair,4526.68,4526.68,4526.68,1,South,High,Cancelled,2025-06-08
