order_item_id,order_id,product_id,quantity,unit_price,line_total
1,1,113,2,590.85,1181.7
2,1,42,3,291.17,873.51
3,1,65,4,238.72,954.88
4,1,50,2,125.27,250.54
5,1,54,3,177.51,532.53
6,2,88,2,378.0,756.0
7,2,45,2,508.59,1017.18
8,2,118,3,742.97,2228.91
9,3,87,3,536.55,1609.65
10,3,96,4,732.78,2931.12
11,3,115,1,107.04,107.04
12,3,108,2,580.83,1161.66
15,5,66,3,810.21,2430.63
16,5,101,1,123.59,123.59
17,6,26,4,319.34,1277.36
18,6,80,3,803.34,2410.02
19,6,112,2,366.07,732.14
20,7,23,1,740.38,740.38
21,7,95,4,581.67,2326.68
24,9,9,4,94.61,378.44
25,9,101,2,123.59,247.18
26,9,65,3,238.72,716.16
27,9,21,3,167.95,503.85
28,9,54,4,177.51,710.04
29,10,116,2,633.37,1266.74
30,10,83,3,413.04,1239.12
31,11,117,3,232.58,697.74
32,12,66,2,810.21,1620.42
33,12,11,1,216.7,216.7
34,12,13,2,162.11,324.22
35,13,83,2,413.04,826.08
36,13,105,3,16.05,48.15
37,13,10,1,520.23,520.23
38,13,96,3,732.78,2198.34
39,14,56,1,614.64,614.64
40,14,41,1,117.93,117.93
41,14,3,1,404.17,404.17
42,14,50,1,125.27,125.27
43,15,49,1,307.38,307.38
44,15,51,2,546.45,1092.9
45,15,106,4,469.58,1878.32
46,15,85,3,209.42,628.26
47,16,19,4,600.64,2402.56
48,16,16,1,864.69,864.69
49,16,6,3,704.8,2114.4
50,16,1,2,50.31,100.62
51,16,74,2,427.63,855.26
52,17,109,4,677.52,2710.08
58,19,92,4,634.57,2538.28
59,19,95,3,581.67,1745.01
61,20,71,3,119.5,358.5
62,20,14,2,5.6,11.2
63,21,81,2,565.87,1131.74
64,21,4,3,373.72,1121.16
65,21,105,4,16.05,64.2
66,21,75,2,53.38,106.76
67,21,52,2,684.74,1369.48
68,22,51,3,546.45,1639.35
69,23,23,2,740.38,1480.76
70,23,73,4,337.65,1350.6
71,24,6,2,704.8,1409.6
