order_id,customer_id,order_date,status
1,355,2023-09-20,completed
2,281,2024-03-21,completed
3,390,2025-09-10,returned
5,232,2024-04-04,completed
6,199,2024-10-02,completed
7,494,2025-07-08,completed
9,184,2024-10-12,pending
10,422,2023-01-19,completed
11,408,2025-03-01,completed
12,261,2023-03-31,completed
13,397,2025-05-18,completed
14,295,2024-06-13,completed
15,258,2024-09-09,completed
16,74,2025-02-03,completed
17,130,2024-01-07,completed
19,187,2025-05-27,completed
20,376,2025-09-09,completed
21,101,2023-06-06,cancelled
22,302,2024-08-18,completed
23,340,2023-12-06,completed
24,21,2025-09-25,completed
26,135,2023-12-23,completed
27,4,2023-10-12,completed
28,332,2023-02-15,completed
29,111,2025-08-23,completed
30,198,2023-02-03,cancelled
31,397,2025-06-02,completed
32,411,2025-02-19,cancelled
33,61,2025-02-07,completed
34,314,2025-03-24,completed
35,261,2024-11-24,completed
36,3,2023-10-25,completed
37,41,2025-02-26,completed
39,287,2024-12-13,cancelled
40,209,2023-05-29,completed
41,417,2024-05-27,pending
42,212,2025-11-23,completed
43,182,2024-07-05,completed
44,106,2024-05-26,completed
45,340,2023-01-14,completed
46,162,2024-07-16,pending
48,135,2025-08-23,completed
50,101,2023-11-03,completed
51,417,2023-07-17,completed
52,333,2023-12-24,completed
53,86,2024-11-21,completed
54,228,2025-01-13,completed
55,33,2025-08-27,completed
56,227,2023-09-26,completed
57,167,2025-08-14,completed
58,328,2024-12-12,completed
60,245,2025-05-31,completed
61,452,2025-03-19,completed
62,437,2023-10-07,completed
63,120,2023-01-31,completed
64,398,2025-08-20,cancelled
65,18,2023-07-12,pending
66,455,2024-03-22,completed
67,80,2023-07-03,completed
68,225,2023-02-13,completed
69,278,2024-01-24,completed
71,123,2023-05-10,completed
72,481,2023-03-06,completed
73,270,2024-06-08,completed
74,476,2023-06-13,completed
75,376,2024-09-14,completed
76,86,2025-04-02,completed
77,289,2025-02-07,returned
79,456,2024-04-22,completed
81,290,2025-10-25,completed
82,382,2025-03-28,completed
83,137,2024-10-24,completed
84,179,2024-12-06,completed
85,192,2023-06-25,completed
86,319,2023-10-17,completed
87,339,2025-01-07,completed
88,365,2024-05-21,completed
89,321,2025-03-03,cancelled
90,175,2023-10-09,completed
91,351,2023-10-10,completed
92,156,2024-07-14,completed
93,119,2025-01-05,completed
94,199,2023-10-09,completed
95,251,2025-07-26,completed
96,202,2025-12-11,completed
97,424,2024-05-18,completed
98,323,2024-01-24,completed
99,463,2025-07-14,completed
100,92,2024-02-18,completed
101,44,2025-02-25,pending
102,493,2024-01-06,completed
103,3,2025-10-07,completed
104,179,2023-03-08,cancelled
105,355,2023-12-30,completed
106,34,2023-10-03,cancelled
107,353,2024-08-11,cancelled
108,93,2024-04-21,pending
109,408,2024-02-29,pending
111,427,2025-09-08,completed
112,476,2025-12-03,completed
113,77,2023-03-05,completed
114,191,2024-09-11,completed
115,468,2025-11-02,completed
116,352,2023-06-28,cancelled
117,389,2024-03-05,completed
118,491,2025-11-18,completed
119,26,2023-04-21,completed
120,48,2025-08-17,completed
121,16,2023-08-20,completed
122,208,2023-08-08,completed
123,175,2025-06-01,completed
124,306,2023-07-19,completed
125,339,2025-12-24,completed
127,57,2023-03-05,completed
128,185,2023-11-12,cancelled
129,250,2023-10-06,completed
131,313,2025-08-25,completed
132,463,2023-01-23,completed
133,289,2025-08-27,completed
134,143,2024-07-29,completed
135,379,2025-07-03,completed
136,421,2025-10-12,completed
138,222,2024-07-12,completed
139,346,2024-02-04,completed
140,269,2025-07-02,completed
142,400,2023-05-08,completed
143,36,2024-02-15,completed
144,373,2025-07-02,completed
145,137,2024-11-06,completed
146,156,2023-07-05,cancelled
147,154,2023-08-07,completed
148,72,2023-02-21,completed
149,370,2023-08-31,completed
150,8,2023-04-13,cancelled
151,33,2023-08-06,completed
153,250,2023-01-15,completed
154,20,2025-10-20,completed
155,321,2024-07-20,completed
156,23,2025-01-15,completed
157,15,2023-08-26,completed
158,212,2025-02-08,completed
159,17,2023-05-03,completed
160,439,2024-03-19,cancelled
162,123,2023-07-05,completed
163,448,2024-01-14,completed
164,314,2024-02-29,completed
165,188,2023-05-18,completed
166,390,2024-12-23,completed
167,485,2023-05-15,cancelled
168,148,2023-06-07,completed
169,278,2025-08-28,completed
170,447,2025-11-30,completed
171,157,2024-06-16,completed
172,147,2023-12-26,completed
173,226,2024-01-13,completed
174,208,2023-10-25,returned
175,149,2023-10-29,completed
177,43,2025-07-01,pending
178,448,2024-03-17,completed
179,445,2024-11-17,pending
180,252,2024-09-10,completed
181,331,2023-09-02,completed
182,290,2024-06-12,completed
183,84,2023-10-27,cancelled
184,490,2024-08-16,completed
185,94,2023-12-09,cancelled
186,145,2025-09-20,returned
187,287,2025-12-12,completed
188,60,2023-02-05,completed
189,439,2024-04-09,completed
190,397,2025-06-02,completed
191,180,2023-10-26,returned
193,117,2024-10-05,completed
194,253,2024-08-03,completed
195,346,2023-08-04,completed
196,356,2023-07-28,cancelled
197,430,2025-10-19,completed
198,119,2023-10-03,completed
199,196,2024-10-31,completed
200,267,2025-08-12,completed
201,227,2023-03-09,completed
202,292,2025-08-20,cancelled
203,179,2023-02-25,completed
205,51,2023-07-24,completed
206,275,2024-06-27,pending
207,178,2024-09-10,completed
208,327,2025-06-07,completed
209,76,2024-09-06,completed
210,137,2023-11-25,completed
212,460,2024-09-02,returned
