order_item_id,order_id,product_id,quantity,unit_price
1,1,113,2,590.85
2,1,42,3,291.17
3,1,65,4,238.72
4,1,50,2,125.27
5,1,54,3,177.51
6,2,88,2,378.0
7,2,45,2,508.59
8,2,118,3,742.97
9,3,87,3,536.55
10,3,96,4,732.78
11,3,115,1,107.04
12,3,108,2,580.83
13,4,108,3,580.83
14,4,8,1,728.74
15,5,66,3,810.21
16,5,101,1,123.59
17,6,26,4,319.34
18,6,80,3,803.34
19,6,112,2,366.07
20,7,23,1,740.38
21,7,95,4,581.67
22,8,6,3,704.8
23,8,20,3,517.54
24,9,9,4,94.61
25,9,101,2,123.59
26,9,65,3,238.72
27,9,21,3,167.95
28,9,54,4,177.51
29,10,116,2,633.37
30,10,83,3,413.04
31,11,117,3,232.58
32,12,66,2,810.21
33,12,11,1,216.7
34,12,13,2,162.11
35,13,83,2,413.04
36,13,105,3,16.05
37,13,10,1,520.23
38,13,96,3,732.78
39,14,56,1,614.64
40,14,41,1,117.93
41,14,3,1,404.17
42,14,50,1,125.27
43,15,49,1,307.38
44,15,51,2,546.45
45,15,106,4,469.58
46,15,85,3,209.42
47,16,19,4,600.64
48,16,16,1,864.69
49,16,6,3,704.8
50,16,1,2,50.31
51,16,74,2,427.63
52,17,109,4,677.52
53,18,63,2,559.46
54,18,43,2,771.67
55,18,46,4,241.39
56,18,17,3,275.07
57,18,86,2,333.09
58,19,92,4,634.57
59,19,95,3,581.67
60,20,63,2,78.36
61,20,71,3,119.5
62,20,14,2,5.6
63,21,81,2,565.87
64,21,4,3,373.72
65,21,105,4,16.05
66,21,75,2,53.38
67,21,52,2,684.74
68,22,51,3,546.45
69,23,23,2,740.38
70,23,73,4,337.65
71,24,6,2,704.8
72,24,86,3,333.09
73,25,91,3,707.35
74,26,84,3,896.53
75,26,115,2,107.04
76,26,107,3,314.44
77,26,10,3,520.23
78,26,67,4,650.54
79,27,83,2,413.04
80,27,36,1,421.22
81,27,28,4,71.4
82,27,20,1,433.53
83,27,24,2,192.66
84,28,21,2,167.95
85,28,18,3,160.9
86,28,81,4,565.87
87,28,66,1,810.21
88,28,6,3,704.8
89,29,77,2,285.5
90,29,19,3,600.64
91,29,102,3,820.54
92,29,75,1,53.38
93,30,88,1,378.0
94,30,54,1,177.51
95,30,106,1,469.58
96,30,20,2,487.65
97,30,78,1,443.16
98,31,90,4,379.84
99,32,13,2,162.11
100,32,55,1,826.63
101,32,18,4,160.9
102,32,33,1,91.79
103,32,62,1,806.45
104,33,53,2,283.45
105,33,47,3,365.65
106,33,14,4,5.6
107,34,62,3,806.45
108,34,23,4,740.38
109,34,48,1,623.0
110,34,72,4,590.71
111,34,33,2,91.79
112,35,21,4,167.95
113,36,9,3,94.61
114,37,37,2,602.98
115,37,92,-1,634.57
116,37,77,2,285.5
117,37,8,2,728.74
118,37,100,1,622.45
119,38,86,2,333.09
120,38,51,1,546.45
121,38,52,3,684.74
122,39,78,4,443.16
123,39,25,1,350.4
124,40,103,3,552.16
125,41,62,4,806.45
126,41,99,1,734.38
127,41,32,3,572.12
128,41,97,2,665.98
129,41,44,2,105.69
130,42,32,4,739.85
131,42,37,1,602.98
132,42,12,2,853.06
133,43,64,2,272.13
134,43,95,2,581.67
135,44,16,1,864.69
136,45,109,4,677.52
137,46,36,2,421.22
138,46,51,4,546.45
139,46,29,1,536.65
140,46,97,4,665.98
141,46,74,2,427.63
142,47,49,1,307.38
143,47,75,3,53.38
144,48,64,2,272.13
145,48,55,3,826.63
146,49,105,3,16.05
147,49,13,4,162.11
148,50,64,3,272.13
149,50,18,3,160.9
150,50,115,1,107.04
151,50,109,2,677.52
152,51,47,3,365.65
153,51,72,4,590.71
154,51,120,2,8.87
155,52,87,4,536.55
156,52,66,4,810.21
157,52,63,4,134.63
158,53,109,2,677.52
159,53,117,3,232.58
160,53,10,3,520.23
161,53,11,4,216.7
162,54,53,1,283.45
163,54,22,2,130.87
164,54,24,1,192.66
165,54,110,4,365.92
166,55,68,3,352.5
167,55,98,1,299.14
168,55,11,4,216.7
169,55,14,2,5.6
170,56,85,3,209.42
171,57,71,2,119.5
172,57,57,4,313.09
173,57,18,4,160.9
174,58,57,3,313.09
175,59,45,4,508.59
176,59,37,4,602.98
177,60,71,3,119.5
178,61,107,1,314.44
179,61,49,2,307.38
180,61,29,3,536.65
181,61,34,3,280.97
182,62,58,2,29.56
183,62,35,2,170.46
184,62,90,1,379.84
185,62,80,1,803.34
186,62,63,2,655.75
187,63,101,3,123.59
188,63,103,1,552.16
189,63,64,2,272.13
190,64,105,1,16.05
191,64,49,2,307.38
192,64,107,4,314.44
193,65,50,3,125.27
194,65,88,1,378.0
195,65,40,1,854.57
196,65,120,3,8.87
197,66,42,3,291.17
198,66,2,4,347.53
199,66,22,1,130.87
200,66,102,4,820.54
201,67,44,1,105.69
202,67,120,2,8.87
203,67,98,1,299.14
204,67,81,2,565.87
205,67,8,3,728.74
206,68,33,1,91.79
207,68,116,4,633.37
208,69,94,2,138.47
209,69,60,2,429.31
210,69,36,3,421.22
211,70,80,3,803.34
212,71,25,2,350.4
213,71,68,3,352.5
214,71,88,3,378.0
215,71,64,1,272.13
216,72,5,4,183.5
217,73,2,2,347.53
218,74,72,4,590.71
219,74,96,1,732.78
220,74,114,3,302.11
221,75,13,2,162.11
222,75,93,2,853.01
223,75,30,4,145.6
224,75,69,3,655.25
225,75,50,4,125.27
226,76,77,3,285.5
227,76,57,3,313.09
228,76,120,4,8.87
229,76,46,4,241.39
230,76,116,3,633.37
231,77,47,1,365.65
232,77,58,3,29.56
233,77,51,2,546.45
234,78,118,2,742.97
235,78,71,4,119.5
236,78,66,2,810.21
237,79,52,1,684.74
238,79,73,4,337.65
239,79,118,1,742.97
240,79,28,3,71.4
241,79,94,4,138.47
242,80,120,2,8.87
243,80,112,1,366.07
244,80,16,4,864.69
245,80,99,1,734.38
246,81,58,1,29.56
247,81,97,3,665.98
248,81,77,2,285.5
249,81,74,1,427.63
250,82,100,2,622.45
251,82,90,2,379.84
